,Predator_next
251,0.35801551304550877
252,0.2574521737468347
253,0.6588708717688097
254,0.5115970787815424
255,0.7472865258908243
256,0.323119909410416
257,0.37581295571050477
258,0.8231819618479634
259,0.33038037643994506
260,0.749493991036228
261,0.41286415925243203
262,0.8043997658201992
263,0.7572887513544001
264,0.23982143892006091
265,0.2908201745104888
266,0.4723873158637665
267,0.6418795130895412
268,0.5065537282539488
269,0.30099453566174966
270,0.6178922055948153
271,0.816302134730421
272,0.4018959006792677
273,0.35285118438029905
274,0.5951237653651825
275,0.292231397015809
276,0.20961861511710017
277,0.3388644882773548
278,0.26442759245124764
279,0.2964156380467663
280,0.45033889035141506
281,0.703178638114781
282,0.8372673778711901
283,0.2696786307539388
284,0.35917409920335575
285,0.3150449842895976
286,0.31735928253666823
287,0.37836638582698634
288,0.6332320950213415
289,0.35143069433080953
290,0.316631740795085
291,0.36949358003618116
292,0.2216523541762308
293,0.25708186130573835
294,0.7227872651036532
295,0.5569934290407655
296,0.6379564960722475
297,0.45929763173848337
298,0.7200718099422333
299,0.3677524827023652
300,0.5101938495193667
301,0.5905665183468166
302,0.3618069884420027
303,0.42005414440077754
304,0.43727121183124057
305,0.8077431122991166
306,0.5611713472324049
307,0.6196995555710785
308,0.4461861726212506
309,0.7907006304600316
310,0.6847959666417562
311,0.598919194982644
312,0.563565588664842
313,0.6343274959252476
314,0.3837926389988576
315,0.3349399725486543
316,0.34275801000661665
317,0.7401859909070487
318,0.4747643974127954
319,0.21874120709340997
320,0.4323004741334661
321,0.6721909524862781
322,0.5560612226726669
323,0.30905481217231445
324,0.45699593007671935
325,0.7445480806239396
326,0.8669076554566708
327,0.5349172231141585
328,0.4575302215985351
329,0.3387355228634421
330,0.338963109583303
331,0.4954401337068524
332,0.4186356652372293
333,0.26168465017986975
334,0.31163580650977485
335,0.7305011852092459
336,0.3836734350636382
337,0.7235126630575409
338,0.43891581494417337
339,0.505324887093891
340,0.23248866613133284
341,0.3993842122008211
342,0.5267736479879447
343,0.5211215615555707
